vjdbv0.3_field_id,vjdbv0.3_name,vjdbv0.3_description,vjdbv0.3_fields_type,vjdbv0.3_privacy,vjdbv0.2__field_id,vjdbv0.1_field_id,ena_field_id,rki_field_id,migs-vi_field_id,migs-uvig_field_id,env-o_field_id,ncbi_virus_n_nucleotide_field_id,bv-brc_b_field_name,ena_erc32_field_name,ena_erc33_field_name,img/vr_field_name,phd_field_name,phispy_field_name,gtdb_field_name,ena_submission_object_object_name,vjbd_submission_object_object_name,vjdbv0.3_group1,vjdbv0.3_group2,vjdbv0.3_group3,vjdbv0.3_tags,vjdbv0.3_input_source,vjdbv0.3_notes,vjdbv0.3_changes,vjdbv0.2_previous_changes,ncbi_virus_n_field_name,ncbi_virus_n_field_description,ncbi_virus_n_type,ncbi_virus_n_curation_notes,bv-brc_b_category,bv-brc_b_schema_category,bv-brc_b_field_id,bv-brc_b_field_type,bv-brc_b_type,bv-brc_b_curation_notes,ena_erc32_field_description,ena_erc32_controlled_vocabulary,ena_erc32_field_type,ena_erc33_field_description,ena_erc33_controlled_vocabulary,ena_erc33_field_type,ena_submission_requiredness,vjdb_submission_requiredness,vjdb_example,vjdb_validation_rules,ena_submission_fieldtype,ena_submission_validation,vjdbv0.3_field_index,ictv40_i_field_name,vjdbv0.3_index,vjdbv0.3_search_method,vjdbv0.3_default_search
host_age_unit_submission,Host Age Unit,"Unit that describes the host age. Is connected to Host Age. Should fit the number, e.g. 2 years",keyword,private,host_age_unit,host_age_unit,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Host,Clinical,N/A,"['Host', 'Clinical']",no source,"These two private for submission, one field for public where it is combined and one for normalized values (also for filtering); ",remove,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,days; years,"Defined list of values, provided by the VJDB",combo,controlled_vocabulary,0gp,N/A,metadata,exact,N/A
host_age_normalized,Host Age Normalized,"Host Ages in a uniform unit, tba",keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Host,Clinical ,N/A,"['Host', 'Clinical ']",VJDB,"Use for sorting by host age, and relevant for plotting; not sure",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0gq,N/A,metadata,range,N/A
host_age,Host Age,"Host age number only from ""BVBRC Host Age"": not yet standardized!",integer,public,host_age,host_age,host age,N/A,N/A,N/A,N/A,N/A,Host Age,host age,host age,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Clinical,N/A,"['ENA', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical']",BVBRC,"Seperation of values good for submission, display should be in one, needs curation from ENA values, seperate Fields for submission?; ",N/A,N/A,N/A,N/A,N/A,N/A,Host Info,N/A,host_age,string_ci,N/A,N/A,"(Recommended) Age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees (Units: years)",N/A,N/A,"(Recommended) Age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees Units: 
",N/A,TEXT_FIELD,recommended,recommended,37 years,Free text,text,unique,0gr,N/A,metadata,range,N/A
lab_passaged,Lab Passaged,"Indicator that sequences came from samples from a laboratory setting, and not from a wild host.",keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample,Virus Info,N/A,"['Sample', 'Virus Info']",NCBI Virus,not sure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0gs,N/A,metadata,no ,N/A
ncbi_taxon_lineage_ids,NCBI Lineage IDs,NCBI TaxIDs of the virus' taxonomy from BVBRC.,integer list,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Taxon Lineage IDs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Taxonomy,Identifiers,NCBI Taxonomy,"['BV-BRC', 'Taxonomy', 'Identifiers', 'NCBI Taxonomy']",BVBRC,no example needed,add|we will add NCBI Tax Names from the NCBI Taxonomy DB later,N/A,N/A,N/A,N/A,N/A,Taxonomy Info,Taxonomy,taxon_lineage_ids,string,N/A,add; we will add NCBI Tax Names from the NCBI Taxonomy DB later,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,0gt,N/A,metadata,exact,N/A
ncbi_taxon_lineage_names,NCBI Lineage Names,Aggregation of the NCBI Taxonomy Names of the virus lineage.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Taxon Lineage Names,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Taxonomy,Virus Info,NCBI Taxonomy,"['BV-BRC', 'Taxonomy', 'Virus Info', 'NCBI Taxonomy']",BVBRC,no example needed,N/A,N/A,N/A,N/A,N/A,Taxonomy Info,Taxonomy,taxon_lineage_names,string,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0gu,N/A,metadata,exact,N/A
ictv_taxon_lineage_names,ICTV Lineage Names,Aggregation of the ICTV Taxonomy Names of the virus lineage.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Taxonomy,Virus Info,ICTV Taxonomy,"['Taxonomy', 'Virus Info', 'ICTV Taxonomy']",VJDB,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0gv,N/A,metadata,exact,N/A
is_ictv_exemplar,ICTV Exemplar,This accession is a representative of the species in the ICTV Taxonomy.,boolean,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Source,Flags,N/A,"['Source', 'Flags']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0gw,N/A,metadata,exact,N/A
is_viralzone,ViralZone Page,There is one page in Viralzone for this Taxon ID,boolean,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Source,Flags,N/A,"['Source', 'Flags']",ViralZone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0gx,N/A,metadata,no ,N/A
ictv_host_group,ICTV Host Group,The ICTV Host source field content to be combined with other host group data from the other sources.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Host,Host Info,N/A,"['Host', 'Host Info']",ICTV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0gy,Host source,metadata,exact fuzzy,default search
ictv_id,ICTV ID ,ICTV ID from Master_Species_List file,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Source,Flags,ICTV Taxonomy,"['Source', 'Flags', 'ICTV Taxonomy']",ICTV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0gz,ICTV_ID,metadata,exact,N/A
ictv_virus_name,ICTV Virus name,Commonly used virus name (or names separated by a semi-colon).,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Taxonomy,Virus Info,ICTV Taxonomy,"['Taxonomy', 'Virus Info', 'ICTV Taxonomy']",ICTV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0ha,Virus name(s),metadata,exact fuzzy,default search
bvbrc_host_age,BV-BRC Host Age,Host Age and Unit from BV-BRC.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Host Age,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Host,Clinical,N/A,"['BV-BRC', 'Host', 'Clinical']",BVBRC,"Seperation of values good for submission, display should be in one, needs curation from ENA values, seperate Fields for submission?",N/A,N/A,N/A,N/A,N/A,N/A,Host Info,N/A,host_age,string_ci,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0hb,N/A,metadata,range,N/A
taxonomy_tree_hash,Hash content for the rank in taxonomy tree,N/A,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,Workflows,"['Internal', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0hc,N/A,metadata,no ,N/A
current_virjen_version,Current VirJenDB version,A flag that indicates if the record is the latest update in VirJenDB database,boolean,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,Workflows,"['Internal', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0hd,N/A,metadata,no ,N/A
updated_fields,Updated Fields ,The list of the fields and their content when they are updated in each release in compare to the previous version,array of objects,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,Workflows,"['Internal', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0he,N/A,metadata,no ,N/A
analysis_title,Analysis Title,Clear and useful title to identify the analysis of your sequencing experiment. This title will not be submitted to the ENA on submission.,N/A,private,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VJDB Analysis,Internal,N/A,Workflows,"['Internal', 'VJDB Analysis', 'Workflows']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0hf,N/A,metadata,exact,N/A
host_gtdb_species,Host GTDB Species Name,References the Host GTDB Species Name to which the NCBI host taxonomy ID of the virus sequence could be mapped.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,host_gtdb_species,host_gtdb_species,host_gtdb_species,gtdb_species,N/A,N/A,Host,Host Taxonomy,GTDB Taxonomy,"['IMG/VR', 'PHD', 'PhiSpy', 'GTDB', 'Host', 'Host Taxonomy', 'GTDB Taxonomy']",IMG/VR|PhiSpy|PhD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0hg,N/A,metadata,exact,N/A
genome_sequence,Genome Sequence,N/A,N/A,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,Workflows,"['Internal', 'Workflows']",NCBI Virus|BVBRC | GTDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0hh,N/A,sequence,no ,N/A
genome_hash,Genome Sequence hash SHA256 ,N/A,N/A,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,Workflows,"['Internal', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0hi,N/A,sequence,no ,N/A
is_unique,Unique Representative,If the sequence is a representative for a group of identical VirJenDB sequences.,boolean,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Analysis,Flags,N/A,"['Analysis', 'Flags']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0hj,N/A,metadata,exact,N/A
in_unique,Unique Reference,"The VirJenDB Accession for the unique representative sequence. For the non-phages, the smallest Accession in the group. See documentation for selection details.",N/A,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,Analysis,Workflows,"['Internal', 'Analysis', 'Workflows']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0hk,N/A,metadata,no ,N/A
is_cluster,Cluster Representative,"If the sequence is a representative sequence of a group of sequences, computed by VClust.",boolean,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Analysis,Flags,N/A,"['Analysis', 'Flags']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0hl,N/A,metadata,exact,N/A
in_cluster,Cluster Reference,The VirJenDB Accession of the representative of its cluster. See documentation for selection details.,N/A,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Analysis,N/A,N/A,['Analysis'],VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0hm,N/A,metadata,exact,N/A
predicted,Predicted,The tool or database that predicted the sequence. No value means that it is not a predicted sequence. ,list,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Analysis,N/A,Workflows,"['Analysis', 'Workflows']",IMG/VR|PhiSpy|PhD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0hn,N/A,metadata,exact fuzzy,N/A
host_assembly_accession_id,Host Assembly Accession,Host Assembly Accession of the sequence (INSDC).,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,host_assembly_accession_id,N/A,host_assembly_accession_id,N/A,N/A,N/A,Host,Identifiers,N/A,"['IMG/VR', 'PhiSpy', 'Host', 'Identifiers']",IMG/VR|PhiSpy|PhD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0ho,N/A,metadata,exact,N/A
host_insdc_accession_id,Host Accession,Host Accession from the GenBank that can refer to the host sequence (not the prophage).,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,host_insdc_accession_id,N/A,host_insdc_accession_id,N/A,N/A,N/A,Host,Identifiers,N/A,"['IMG/VR', 'PhiSpy', 'Host', 'Identifiers']",VJDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0ho,N/A,metadata,exact fuzzy,default search
host_assembly_program,Host Assembly Program,The program used for host genome assembly.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,host_assembly_program,N/A,host_assembly_program,N/A,N/A,N/A,Host,N/A,Workflows,"['IMG/VR', 'PhiSpy', 'Host', 'Workflows']",IMG/VR|PhiSpy|PhD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Free text,N/A,N/A,0hp,N/A,metadata,exact,N/A
host_bioproject_accession_id,Host BioProject Accession,References the BioProject Accession that the host sequence is a part of (INSDC).,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,host_bioproject_accession_id,N/A,host_bioproject_accession_id,N/A,N/A,N/A,Host,Identifiers,N/A,"['IMG/VR', 'PhiSpy', 'Host', 'Identifiers']",IMG/VR|PhiSpy|PhD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0hq,N/A,metadata,exact,N/A
host_biosample_accession_id,Host Biosample Accession,References the BioSample Accession that the host sequence is a part of (INSDC).,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,host_biosample_accession_id,N/A,host_biosample_accession_id,N/A,N/A,N/A,Host,Identifiers,N/A,"['IMG/VR', 'PhiSpy', 'Host', 'Identifiers']",IMG/VR|PhiSpy|PhD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0hr,N/A,metadata,exact,N/A
host_collection_country,Host Country,Country or sea area where the sample the host sequence originates from was collected/sampled.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,host_collection_country,N/A,host_collection_country,N/A,N/A,N/A,Host,Collection,N/A,"['IMG/VR', 'PhiSpy', 'Host', 'Collection']",IMG/VR|PhiSpy|PhD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Germany,"Defined list of countries, provided by the INSDC",N/A,N/A,0hs,N/A,metadata,exact,N/A
host_collection_date,Host Collection Date,Date when the sample the host sequence originates from was collected or sampled.,date,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,host_collection_date,N/A,host_collection_date,N/A,N/A,N/A,Host,Collection,N/A,"['IMG/VR', 'PhiSpy', 'Host', 'Collection']",IMG/VR|PhiSpy|PhD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-05-23,"YYYY-MM-DD; Some browsers can display dates in a different format, but it is still correct",N/A,N/A,0ht,N/A,metadata,range,N/A
host_imgvr_taxon_oid,Host IMGM Taxon OID,References the Host IMGM Taxon OID from which the virus sequence was extracted by IMG/VR.,keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,host_imgvr_taxon_oid,N/A,N/A,N/A,N/A,N/A,Host,Identifiers,N/A,"['IMG/VR', 'Host', 'Identifiers']",IMG/VR|PhiSpy|PhD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0hu,N/A,metadata,exact,N/A
phage_id,phage id,phage id internal identifier,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,phage_id,phage_id,phage_id,N/A,N/A,N/A,Internal,Virus Info,N/A,"['IMG/VR', 'PHD', 'PhiSpy', 'Internal', 'Virus Info']",VJDB,"From Malte's dataset, deprecated (VirJenDB Accession as new Identifier), soon to be removed",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0hv,N/A,metadata,exact,N/A
host_sequence_average_depth_coverage,Host Average Sequence Depth,Average sequencing depth across the host sequence from IMG/VR|PhiSpy|PhD.,float,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,host_sequence_average_depth_coverage,N/A,host_sequence_average_depth_coverage,N/A,N/A,N/A,Host,N/A,Workflows,"['IMG/VR', 'PhiSpy', 'Host', 'Workflows']",IMG/VR|PhiSpy|PhD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.0x,Decimal number value followed by an x(!),N/A,N/A,0hw,N/A,metadata,range,N/A
host_sequencing_platform,Host Sequencing Platform,"Instrument platform used for host sequencing, multiple are seperated (only for assemblies).",keyword,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,host_sequencing_platform,N/A,host_sequencing_platform,N/A,N/A,N/A,Host,N/A,Workflows,"['IMG/VR', 'PhiSpy', 'Host', 'Workflows']",IMG/VR|PhiSpy|PhD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CAPILLARY,"Defined list of values, provided by the ENA",N/A,N/A,0hx,N/A,metadata,exact,N/A
ictv_taxon_lineage_hash,ICTV Lineage Hash List ,The list of the hash for the lineage of the rank in ICTV VMR file,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,Workflows,"['Internal', 'Workflows']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0hy,N/A,taxonomy,exact,N/A
parent_hash,Parent Hash,Taxonomy Table Hash ID of the Parent Rank,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,Workflows,"['Internal', 'Workflows']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0hz,N/A,taxonomy,exact,N/A
rank_hash,Rank Hash,Taxonomy Table Hash ID of the Rank,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,Workflows,"['Internal', 'Workflows']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0ia,N/A,taxonomy,exact,N/A
ictv_rank_name,ICTV Rank Name,ICTV Rank Name,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,Workflows,"['Internal', 'Workflows']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0ib,N/A,taxonomy,exact,N/A
ictv_rank_type,ICTV Rank Name,ICTV Rank Name,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,Workflows,"['Internal', 'Workflows']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0ic,N/A,taxonomy,exact,N/A
imgvr_uvig_id,IMGVR UVIG ID,N/A,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,imgvr_uvig_id,N/A,N/A,N/A,N/A,N/A,Host,Identifiers,N/A,"['IMG/VR', 'Host', 'Identifiers']",IMG/VR|PhiSpy|PhD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0id,N/A,metadata,no,N/A
